Field,Type,Null,Key,Default,Extra
id,int,NO,PRI,NULL,auto_increment
agent_id,int,YES,,NULL,
role_id,int,YES,MUL,NULL,
status_id,int,NO,MUL,NULL,
prefix,varchar(50),YES,,NULL,
first_name,varchar(255),NO,MUL,NULL,
middle_name,varchar(255),YES,,NULL,
last_name,varchar(255),NO,MUL,NULL,
username,varchar(100),YES,UNI,NULL,
password_hash,varchar(255),YES,,NULL,
suffix,varchar(50),YES,,NULL,
fonetica_nombre,text,YES,,NULL,
fonetica_segundo_nombre,text,YES,,NULL,
fonetica_apellido,text,YES,,NULL,
seudonimo,varchar(255),YES,,NULL,
archivar_como,varchar(255),YES,,NULL,
rut_nit,varchar(50),YES,MUL,NULL,
verification_digit,"tinyint unsigned",YES,,NULL,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
updated_at,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
is_natural_person,tinyint(1),YES,MUL,0,
